County,Education Quintile,Average Years of Education,Total Crime,Hate Crime Index
"Jerauld County, South Dakota",Second,15.01428571,2,0
"Skagit County, Washington",Third,15.55774465,4588,0
"Milwaukee County, Wisconsin",Third,15.56947538,48786,0.006
"Palm Beach County, Florida",Fourth,15.71761164,47324,0.008
"Brown County, South Dakota",Fourth,15.76599749,676,0
"Mecklenburg County, North Carolina",Top Fifth,16.18764865,39794,0.005
"San Juan County, Washington",Top Fifth,16.91913185,164,0
"Hidalgo County, Texas",Lowest,13.23588611,30723,0.041
"Tulare County, California",Lowest,13.42752348,13301,0.023
"El Paso County, Texas",Lowest,14.39798155,20101,0.042
"Wyandotte County, Kansas",Lowest,14.44376915,9079,0.053
"Adams County, Colorado",Lowest,14.96901245,15453,0.019
"Harris County, Texas",Second,14.99849674,200021,0.011
"Osceola County, Florida",Second,15.01679668,9492,0.048
"St. Lucie County, Florida",Second,15.09305155,7045,0.064
"Anderson County, South Carolina",Second,15.12845752,10793,0.035
"Calcasieu Parish, Louisiana",Second,15.14493573,10324,0.038
"Lancaster County, Pennsylvania",Second,15.15101144,9261,0.052
"Bexar County, Texas",Second,15.19968166,97028,0.058
"Lake County, Indiana",Second,15.21566344,17274,0.012
"Sussex County, Delaware",Second,15.28917308,7337,0.062
"Caddo Parish, Louisiana",Third,15.36085324,11618,0.03
"Union County, New Jersey",Third,15.40174983,12334,0.026
"Lubbock County, Texas",Third,15.40899766,14182,0.02
"Horry County, South Carolina",Third,15.43458953,16896,0.013
"Pueblo County, Colorado",Third,15.46220102,9277,0.051
"Prince George's County, Maryland",Third,15.46379655,30724,0.04
"Baltimore city, Maryland",Third,15.49672173,38341,0.06
"Bell County, Texas",Third,15.55937074,11381,0.034
"Oklahoma County, Oklahoma",Third,15.57192367,34478,0.031
"Washoe County, Nevada",Third,15.58081019,12055,0.029
"Ocean County, New Jersey",Third,15.5900947,9770,0.045
"Norfolk city, Virginia",Third,15.63521619,11475,0.033
"Escambia County, Florida",Fourth,15.69612421,14468,0.063
"Montgomery County, Texas",Fourth,15.698618,9493,0.046
"Orange County, New York",Fourth,15.70708241,7929,0.059
"Tulsa County, Oklahoma",Fourth,15.70717405,28040,0.049
"Richmond city, Virginia",Fourth,15.73667331,10389,0.037
"Peoria County, Illinois",Fourth,15.87861318,6989,0.066
"Greene County, Missouri",Fourth,15.8838774,16630,0.015
"Pulaski County, Arkansas",Fourth,15.89226017,26679,0.022
"Salt Lake County, Utah",Fourth,15.92316466,52907,0.056
"New Castle County, Delaware",Fourth,15.97628551,19720,0.009
"Plymouth County, Massachusetts",Fourth,16.00935662,9054,0.055
"Knox County, Tennessee",Top Fifth,16.09666272,19905,0.044
"Lake County, Illinois",Top Fifth,16.20799555,12162,0.027
"Fort Bend County, Texas",Top Fifth,16.22125929,12516,0.024
"Jefferson County, Colorado",Top Fifth,16.52883384,16590,0.016
"Fairfax County, Virginia",Top Fifth,17.02714156,16412,0.017
"Merced County, California",Lowest,13.49609111,8611,0.114
"Kings County, California",Lowest,14.06991712,4171,0.118
"Monterey County, California",Lowest,14.10089983,12410,0.121
"Randolph County, North Carolina",Lowest,14.63143317,4736,0.096
"Dallas County, Texas",Lowest,14.89720758,93245,0.074
"Catawba County, North Carolina",Second,15.11361527,4841,0.093
"Pinal County, Arizona",Second,15.12228704,8319,0.12
"Berks County, Pennsylvania",Second,15.13630691,8699,0.111
"Clark County, Nevada",Second,15.1533226,72994,0.102
"Harrison County, Mississippi",Third,15.37219835,8916,0.106
"Rock County, Wisconsin",Third,15.39036658,4401,0.109
"Berkeley County, South Carolina",Third,15.45445478,5633,0.08
"Licking County, Ohio",Third,15.53895973,4501,0.104
"Camden County, New Jersey",Third,15.54997349,15479,0.088
"Clermont County, Ohio",Third,15.61332451,5728,0.078
"Broward County, Florida",Third,15.65180155,64848,0.098
"Canadian County, Oklahoma",Third,15.66581387,4259,0.117
"Cabarrus County, North Carolina",Third,15.67405274,4091,0.122
"Hillsborough County, Florida",Fourth,15.67807026,31923,0.103
"Orange County, Florida",Fourth,15.69150644,57567,0.07
"Hampton city, Virginia",Fourth,15.69245496,4845,0.092
"Brown County, Wisconsin",Fourth,15.69345121,4332,0.113
"Greenville County, South Carolina",Fourth,15.73147686,19328,0.067
"Pinellas County, Florida",Fourth,15.78507179,39202,0.081
"Madison County, Illinois",Fourth,15.79256361,5136,0.089
"Pima County, Arizona",Fourth,15.79500002,49312,0.084
"Baldwin County, Alabama",Fourth,15.8063253,4433,0.107
"Broome County, New York",Fourth,15.81533971,6408,0.069
"Schenectady County, New York",Fourth,15.83372277,5127,0.091
"Jefferson County, Kentucky",Fourth,15.8726181,36383,0.087
"Douglas County, Nebraska",Fourth,15.92317364,23063,0.099
"East Baton Rouge Parish, Louisiana",Fourth,15.96124731,20851,0.085
"Erie County, New York",Fourth,16.00252273,28495,0.124
"Brazos County, Texas",Fourth,16.00735699,6144,0.075
"Monroe County, New York",Top Fifth,16.16409095,21510,0.116
"Seminole County, Florida",Top Fifth,16.23560046,11502,0.077
"Charleston County, South Carolina",Top Fifth,16.25916946,12665,0.071
"Durham County, North Carolina",Top Fifth,16.38208645,14497,0.095
"Albany County, New York",Top Fifth,16.41495468,9219,0.1
"St. Louis County, Missouri",Top Fifth,16.5110419,26139,0.11
"DuPage County, Illinois",Top Fifth,16.52530026,12508,0.073
"Fulton County, Georgia",Top Fifth,16.64914351,55141,0.082
