State,Geography,county_fips,Race,Religion,Sexual_Orientation,Disability,Gender,Gender_Identity,Gender_both,Total,Total crimes,% hate crime,AvgYears,Education Quintile
Texas,"Zavala County, Texas",48507,1,0,0,0,0,0,0,1,251,0.40%,12.91664259,Lowest
Texas,"Hidalgo County, Texas",48215,1,0,1,0,0,0,0,3,30723,0.01%,13.23588611,Lowest
California,"Tulare County, California",6107,0,1,0,0,0,0,0,1,13301,0.01%,13.42752348,Lowest
Florida,"DeSoto County, Florida",12027,1,0,0,0,0,0,0,1,1109,0.09%,13.45293204,Lowest
California,"Merced County, California",6047,0,0,1,0,0,1,1,2,8611,0.02%,13.49609111,Lowest
Arkansas,"Sevier County, Arkansas",5133,2,0,0,0,0,0,0,2,402,0.50%,13.67399887,Lowest
Washington,"Yakima County, Washington",53077,7,1,1,0,0,0,0,10,8833,0.11%,13.87917634,Lowest
Kentucky,"Wolfe County, Kentucky",21237,1,0,0,0,0,0,0,1,69,1.45%,13.88202471,Lowest
Washington,"Franklin County, Washington",53021,1,0,0,0,0,0,0,1,1862,0.05%,13.90142313,Lowest
Kansas,"Ford County, Kansas",20057,2,0,0,1,0,0,0,3,1036,0.29%,13.95315813,Lowest
Kentucky,"McCreary County, Kentucky",21147,1,0,0,0,0,0,0,1,105,0.95%,13.97744851,Lowest
Texas,"Floyd County, Texas",48153,1,0,0,0,0,0,0,1,125,0.80%,13.9854703,Lowest
Arizona,"Yuma County, Arizona",4027,2,1,1,0,0,0,0,5,6008,0.08%,14.01868996,Lowest
Louisiana,"Avoyelles Parish, Louisiana",22009,1,0,0,0,0,0,0,1,1401,0.07%,14.05436379,Lowest
California,"Kings County, California",6031,0,1,0,0,0,0,0,1,4171,0.02%,14.06991712,Lowest
Kentucky,"Harlan County, Kentucky",21095,1,0,0,0,0,0,0,1,182,0.55%,14.07699047,Lowest
California,"Kern County, California",6029,9,0,0,0,0,0,0,9,32748,0.03%,14.07995698,Lowest
Kansas,"Finney County, Kansas",20055,0,0,1,0,0,0,0,2,1234,0.16%,14.09055465,Lowest
Arizona,"Apache County, Arizona",4001,0,0,1,0,0,0,0,2,510,0.39%,14.09505921,Lowest
California,"Monterey County, California",6053,2,1,0,0,0,0,0,3,12410,0.02%,14.10089983,Lowest
California,"Fresno County, California",6019,9,3,6,0,0,0,0,24,37082,0.06%,14.11968691,Lowest
Texas,"Atascosa County, Texas",48013,1,0,0,0,0,0,0,1,1445,0.07%,14.15355955,Lowest
Oregon,"Morrow County, Oregon",41049,1,1,0,0,0,0,0,2,244,0.82%,14.19302987,Lowest
Louisiana,"Lafourche Parish, Louisiana",22057,1,0,0,0,0,0,0,1,2453,0.04%,14.20742563,Lowest
Kentucky,"Todd County, Kentucky",21219,0,1,0,0,0,0,0,1,148,0.68%,14.21145756,Lowest
Tennessee,"Fentress County, Tennessee",47049,7,0,0,0,0,0,0,7,460,1.52%,14.22779007,Lowest
North Carolina,"Sampson County, North Carolina",37163,2,0,0,0,0,0,0,2,1707,0.12%,14.22801035,Lowest
Tennessee,"Cocke County, Tennessee",47029,1,0,0,0,0,0,0,1,1495,0.07%,14.24806877,Lowest
New Jersey,"Cumberland County, New Jersey",34011,2,2,0,0,0,0,0,4,6939,0.06%,14.24856699,Lowest
Kentucky,"Powell County, Kentucky",21197,0,1,0,0,0,0,0,1,174,0.57%,14.250659,Lowest
Texas,"Shelby County, Texas",48419,0,0,0,0,1,0,1,1,584,0.17%,14.26560117,Lowest
Louisiana,"Madison Parish, Louisiana",22065,1,0,0,0,0,0,0,1,460,0.22%,14.26740588,Lowest
Tennessee,"Overton County, Tennessee",47133,1,0,0,0,0,0,0,1,379,0.26%,14.27785357,Lowest
South Carolina,"Chesterfield County, South Carolina",45025,1,0,0,0,0,0,0,1,1649,0.06%,14.27908087,Lowest
Kentucky,"Letcher County, Kentucky",21133,1,0,0,0,0,0,0,1,108,0.93%,14.30881198,Lowest
California,"Stanislaus County, California",6099,9,4,1,0,0,0,0,15,21385,0.07%,14.33073587,Lowest
Texas,"Ector County, Texas",48135,2,1,0,0,0,0,0,3,7375,0.04%,14.34564752,Lowest
Virginia,"Grayson County, Virginia",51077,1,0,0,0,0,0,0,1,174,0.57%,14.35610694,Lowest
North Carolina,"Edgecombe County, North Carolina",37065,1,0,0,0,0,0,0,1,2071,0.05%,14.36516338,Lowest
North Carolina,"Halifax County, North Carolina",37083,5,0,0,0,0,0,0,5,2350,0.21%,14.3745783,Lowest
Kentucky,"Breckinridge County, Kentucky",21027,1,0,0,0,0,0,0,1,65,1.54%,14.37571212,Lowest
Tennessee,"Marion County, Tennessee",47115,0,0,1,0,0,0,0,2,578,0.35%,14.38133663,Lowest
Tennessee,"Lawrence County, Tennessee",47099,0,1,0,0,0,0,0,1,1264,0.08%,14.38576989,Lowest
Texas,"El Paso County, Texas",48141,0,0,1,0,0,0,0,2,20101,0.01%,14.39798155,Lowest
California,"Sutter County, California",6101,1,0,0,0,0,0,0,1,2680,0.04%,14.41004423,Lowest
South Carolina,"Barnwell County, South Carolina",45011,0,1,0,0,0,0,0,1,996,0.10%,14.41159663,Lowest
Ohio,"Pike County, Ohio",39131,1,0,0,0,0,0,0,1,362,0.28%,14.41256632,Lowest
Virginia,"Amelia County, Virginia",51007,1,0,0,0,0,0,0,1,130,0.77%,14.41920663,Lowest
Texas,"San Jacinto County, Texas",48407,1,0,0,0,0,0,0,1,613,0.16%,14.42656827,Lowest
California,"San Benito County, California",6069,0,0,1,0,0,0,0,2,932,0.21%,14.42808434,Lowest
Texas,"Hockley County, Texas",48219,2,0,0,0,0,0,0,2,711,0.28%,14.43111298,Lowest
Tennessee,"DeKalb County, Tennessee",47041,2,0,0,0,0,0,0,2,447,0.45%,14.43248518,Lowest
California,"San Joaquin County, California",6077,7,0,0,1,0,0,0,8,30438,0.03%,14.4341185,Lowest
Kansas,"Wyandotte County, Kansas",20209,1,0,0,0,0,0,0,1,9079,0.01%,14.44376915,Lowest
North Carolina,"Yadkin County, North Carolina",37197,1,1,0,0,0,0,0,2,952,0.21%,14.507351,Lowest
Nebraska,"Saline County, Nebraska",31151,2,0,0,0,0,0,0,2,290,0.69%,14.5312144,Lowest
Texas,"Polk County, Texas",48373,1,0,0,0,0,0,0,1,1236,0.08%,14.53480908,Lowest
Kentucky,"Pendleton County, Kentucky",21191,0,1,0,0,0,0,0,1,137,0.73%,14.53991365,Lowest
North Carolina,"Richmond County, North Carolina",37153,1,0,0,0,0,0,0,1,2600,0.04%,14.54825676,Lowest
Kentucky,"Harrison County, Kentucky",21097,1,0,0,0,0,0,0,1,448,0.22%,14.55126904,Lowest
Kentucky,"Garrard County, Kentucky",21079,1,0,0,0,0,0,0,1,177,0.56%,14.5782392,Lowest
Tennessee,"Hamblen County, Tennessee",47063,2,0,0,0,0,0,0,2,2242,0.09%,14.59251406,Lowest
North Carolina,"Surry County, North Carolina",37171,1,0,0,0,0,0,0,1,2423,0.04%,14.59865458,Lowest
Kentucky,"Barren County, Kentucky",21009,2,0,1,0,0,0,0,4,701,0.57%,14.61888088,Lowest
South Carolina,"Abbeville County, South Carolina",45001,1,0,0,0,0,0,0,1,642,0.16%,14.6201909,Lowest
West Virginia,"Barbour County, West Virginia",54001,1,0,0,0,0,0,0,1,73,1.37%,14.628847,Lowest
South Carolina,"Chester County, South Carolina",45023,1,0,0,0,0,0,0,1,1245,0.08%,14.63073043,Lowest
North Carolina,"Randolph County, North Carolina",37151,0,1,0,0,0,0,0,1,4736,0.02%,14.63143317,Lowest
Kentucky,"Bracken County, Kentucky",21023,0,0,0,1,0,0,0,1,103,0.97%,14.65795016,Lowest
West Virginia,"Fayette County, West Virginia",54019,4,0,0,0,0,0,0,4,1039,0.38%,14.66973863,Lowest
Virginia,"Accomack County, Virginia",51001,0,0,0,2,0,0,0,2,563,0.36%,14.67140461,Lowest
Texas,"Anderson County, Texas",48001,1,0,0,0,0,0,0,1,1376,0.07%,14.67527067,Lowest
North Carolina,"Burke County, North Carolina",37023,4,0,0,0,0,0,0,4,2278,0.18%,14.67829844,Lowest
California,"San Bernardino County, California",6071,27,3,7,0,0,1,1,44,63059,0.07%,14.68992386,Lowest
Tennessee,"Dickson County, Tennessee",47043,2,0,0,0,0,0,0,2,1559,0.13%,14.70922882,Lowest
South Carolina,"Darlington County, South Carolina",45031,0,0,1,0,0,0,0,2,3797,0.05%,14.71172958,Lowest
Ohio,"Gallia County, Ohio",39053,1,0,0,0,0,0,0,1,1067,0.09%,14.71762992,Lowest
North Carolina,"Wilson County, North Carolina",37195,0,0,1,0,0,0,0,2,2966,0.07%,14.71793147,Lowest
Ohio,"Highland County, Ohio",39071,1,0,0,0,0,0,0,1,844,0.12%,14.72119658,Lowest
West Virginia,"Mason County, West Virginia",54053,3,0,0,0,0,0,0,3,417,0.72%,14.72283837,Lowest
Texas,"Freestone County, Texas",48161,1,0,0,0,0,0,0,1,268,0.37%,14.72368902,Lowest
Oklahoma,"Le Flore County, Oklahoma",40079,0,0,1,0,0,0,0,2,1209,0.17%,14.72698261,Lowest
Texas,"Austin County, Texas",48015,1,0,0,0,0,0,0,1,541,0.18%,14.73994406,Lowest
Oklahoma,"Nowata County, Oklahoma",40105,0,1,0,0,0,0,0,1,137,0.73%,14.7494466,Lowest
Oklahoma,"Garvin County, Oklahoma",40049,1,0,0,0,0,0,0,1,683,0.15%,14.75289072,Lowest
Michigan,"Clare County, Michigan",26035,1,0,0,0,0,0,0,1,695,0.14%,14.76229471,Lowest
Louisiana,"St. John the Baptist Parish, Louisiana",22095,4,0,1,0,0,0,0,6,1379,0.44%,14.78616001,Lowest
Kentucky,"Simpson County, Kentucky",21213,2,0,0,0,0,0,0,2,459,0.44%,14.79283719,Lowest
California,"Riverside County, California",6065,15,2,5,0,1,1,2,28,67694,0.04%,14.80026428,Lowest
Virginia,"Covington city, Virginia",51580,0,1,0,0,0,0,0,1,125,0.80%,14.80443651,Lowest
Kentucky,"Graves County, Kentucky",21083,2,0,0,0,0,0,0,2,589,0.34%,14.80683747,Lowest
West Virginia,"Upshur County, West Virginia",54097,1,0,0,0,0,0,0,1,310,0.32%,14.81540313,Lowest
California,"Los Angeles County, California",6037,181,65,87,0,1,17,18,421,260218,0.16%,14.81766976,Lowest
Kentucky,"Mason County, Kentucky",21161,1,0,0,0,0,0,0,1,467,0.21%,14.82252995,Lowest
Ohio,"Ashtabula County, Ohio",39007,1,0,0,0,0,0,0,1,1441,0.07%,14.82334302,Lowest
Oregon,"Umatilla County, Oregon",41059,0,1,1,1,0,0,0,4,2054,0.19%,14.82757576,Lowest
Texas,"Upshur County, Texas",48459,1,0,0,0,0,0,0,1,1154,0.09%,14.83515308,Lowest
Michigan,"Newaygo County, Michigan",26123,3,0,0,0,0,0,0,3,931,0.32%,14.84726129,Lowest
Texas,"Jefferson County, Texas",48245,4,0,0,0,0,0,0,4,10924,0.04%,14.85295103,Lowest
Oklahoma,"Seminole County, Oklahoma",40133,0,0,1,0,0,0,0,2,633,0.32%,14.85415288,Lowest
Ohio,"Fayette County, Ohio",39047,0,1,0,0,0,0,0,1,1183,0.08%,14.86303873,Lowest
Ohio,"Scioto County, Ohio",39145,1,0,0,0,0,0,0,1,2871,0.03%,14.86378525,Lowest
Nebraska,"Hall County, Nebraska",31079,2,0,0,0,0,0,0,2,2620,0.08%,14.86538314,Lowest
Idaho,"Canyon County, Idaho",16027,4,0,1,0,0,0,0,6,5053,0.12%,14.86717421,Lowest
Ohio,"Lawrence County, Ohio",39087,1,0,0,0,0,0,0,1,1596,0.06%,14.87949556,Lowest
Tennessee,"Dyer County, Tennessee",47045,1,0,0,0,0,0,0,1,2006,0.05%,14.88145944,Lowest
New Mexico,"Valencia County, New Mexico",35061,1,0,0,0,0,0,0,1,3199,0.03%,14.88299204,Lowest
Idaho,"Bingham County, Idaho",16011,0,0,1,0,0,0,0,2,655,0.31%,14.88672972,Lowest
Arkansas,"Sebastian County, Arkansas",5131,6,1,0,0,0,0,0,7,5896,0.12%,14.88687972,Lowest
South Carolina,"Colleton County, South Carolina",45029,1,0,0,0,0,0,0,1,1859,0.05%,14.88719208,Lowest
Michigan,"St. Joseph County, Michigan",26149,1,0,0,0,0,0,0,1,1240,0.08%,14.89092519,Lowest
Kentucky,"Hopkins County, Kentucky",21107,2,2,0,0,0,0,0,4,854,0.47%,14.89164,Lowest
Ohio,"Ross County, Ohio",39141,2,0,0,0,0,0,0,2,3245,0.06%,14.89629616,Lowest
Texas,"Dallas County, Texas",48113,9,2,2,0,0,0,0,15,93245,0.02%,14.89720758,Lowest
