"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Alabama","Baldwin County, Alabama",1003,1,0,0,0,0,0,0,1,51365,54184,2819,0.4608,6.3,74.1596912521441,15.8063252969002,114.6
"Alabama","Jefferson County, Alabama",1073,10,1,1,0,0,0,0,13,47220,62604,15384,0.4995,8.2,75.0710446870203,15.8956953308361,592.5
"Alabama","Lauderdale County, Alabama",1077,1,0,0,0,0,0,0,1,43657,45592,1935,0.464,7.6,71.3335794556438,15.1836954456198,138.8
"Alaska","Anchorage Municipality, Alaska",2020,4,0,0,0,0,0,0,4,80862,92471,11609,0.4201,6,82.4326476197417,16.1300468576145,171.2
"Alaska","Juneau City and Borough, Alaska",2110,6,0,0,0,0,0,0,6,87436,93929,6493,0.379,4.9,83.3707203636171,16.5349964106246,11.6
"Alaska","Matanuska-Susitna Borough, Alaska",2170,1,0,0,0,0,0,0,1,73908,75062,1154,0.4061,9.9,72.083743084857,15.6465198546752,3.6
"Arizona","Apache County, Arizona",4001,0,0,1,0,0,0,0,2,32460,51319,18859,0.4847,15.8,52.463461594991,14.0950592115812,6.4
"Arizona","Coconino County, Arizona",4005,0,0,1,0,0,0,0,2,51106,58429,7323,0.4767,8.2,76.7756143869911,15.9948332959837,7.2
"Arizona","Maricopa County, Arizona",4013,101,45,47,1,0,0,0,241,55676,62511,6835,0.4682,6.8,76.9796744393806,15.6324968848343,414.9
"Arizona","Pima County, Arizona",4019,3,2,2,0,0,0,0,9,46764,52905,6141,0.4713,9.2,74.7494270769879,15.7950000226284,106.7
"Arizona","Pinal County, Arizona",4021,2,0,0,0,0,0,0,2,51190,54108,2918,0.4202,9.4,63.7378929072731,15.1222870400569,70
"Arizona","Yavapai County, Arizona",4025,1,0,1,0,0,0,0,3,46638,47431,793,0.4415,8.5,68.1976890857445,15.7928827985874,26
"Arizona","Yuma County, Arizona",4027,2,1,1,0,0,0,0,5,41467,48347,6880,0.4388,12.5,73.0731772236826,14.0186899604818,35.5
"Arkansas","Pulaski County, Arkansas",5119,2,0,0,0,0,1,1,2,47101,59406,12305,0.492,6.4,75.4584357855302,15.8922601654438,503.8
"Arkansas","Sebastian County, Arkansas",5131,6,1,0,0,0,0,0,7,40023,44286,4263,0.4911,5.4,71.3768540660747,14.8868797158285,236.4
"Arkansas","Sevier County, Arkansas",5133,2,0,0,0,0,0,0,2,38956,42051,3095,0.4066,6.8,76.2688542422045,13.6739988719684,30.2
"California","Alameda County, California",6001,33,9,9,1,0,0,0,61,79831,95331,15500,0.4688,7.1,80.0262459773638,16.064707948322,2043.6
"California","Amador County, California",6005,0,1,0,0,0,0,0,1,57032,55608,-1424,0.4355,11.6,59.9667975923281,15.4767967717248,64.1
"California","Butte County, California",6007,4,0,1,0,0,0,0,6,44366,46740,2374,0.4816,10.7,70.2959312941176,15.5849233006683,134.4
"California","Contra Costa County, California",6013,12,2,5,0,0,0,0,24,82881,96220,13339,0.4679,7.7,78.8085466913623,16.0585113165445,1465.2
"California","El Dorado County, California",6017,0,1,0,0,0,0,0,1,72586,73473,887,0.4578,9.6,74.2573619977661,16.1351036070606,106
"California","Fresno County, California",6019,9,3,6,0,0,0,0,24,45963,61420,15457,0.4799,11.9,73.2661094499067,14.1196869129186,156.2
"California","Humboldt County, California",6023,2,1,0,0,0,0,0,3,42685,44704,2019,0.4592,9.5,70.746079828938,15.8614567176001,37.7
"California","Kern County, California",6029,9,0,0,0,0,0,0,9,49788,60940,11152,0.4603,11.9,69.5069014839565,14.0799569779724,103.3
"California","Kings County, California",6031,0,1,0,0,0,0,0,1,47241,60878,13637,0.4502,11.7,63.0477900552486,14.0699171231609,110.1
"California","Lake County, California",6033,2,0,0,0,0,0,0,2,36132,39003,2871,0.4691,13.7,62.5210060422961,15.0308511098611,51.5
"California","Los Angeles County, California",6037,181,65,87,0,1,17,18,421,57952,76751,18799,0.5023,8.9,78.0249019257861,14.8176697562707,2419.6
"California","Marin County, California",6041,2,1,0,0,0,0,0,3,100310,109205,8895,0.5251,5.1,80.3398323769579,17.0486514123668,485.1
"California","Mendocino County, California",6045,3,1,2,0,0,0,0,8,43510,46731,3221,0.4876,11,72.4522252759431,15.328608498216,25.1
"California","Merced County, California",6047,0,0,1,0,0,1,1,2,44397,51754,7357,0.4589,15.7,71.6480217308667,13.49609111215,132.2
"California","Mono County, California",6051,2,0,0,0,0,0,0,2,58937,66526,7589,0.3729,8,83.0463194724802,15.5129751265209,4.7
"California","Monterey County, California",6053,2,1,0,0,0,0,0,3,60889,75395,14506,0.4586,6.9,73.0139639084145,14.1008998284633,126.5
"California","Napa County, California",6055,0,0,1,0,0,0,0,2,74609,80840,6231,0.4712,6.6,81.8685690506726,15.4198451302407,182.4
"California","Orange County, California",6059,21,8,4,0,0,0,0,37,78145,89331,11186,0.4697,6.8,79.8891323526711,15.6493802345378,3807.7
"California","Placer County, California",6061,7,4,0,0,0,0,0,11,76926,77538,612,0.446,7,78.2877932349188,16.3534439083703,247.6
"California","Riverside County, California",6065,15,2,5,0,1,1,2,28,57972,64844,6872,0.4478,11.3,74.0814140350515,14.8002642801124,303.8
"California","Sacramento County, California",6067,12,2,6,0,0,0,0,26,57509,64462,6953,0.4598,10.2,75.4568140819377,15.4518629859275,1470.8
"California","San Benito County, California",6069,0,0,1,0,0,0,0,2,73814,85154,11340,0.406,10.8,79.9192887001526,14.4280843403071,39.8
"California","San Bernardino County, California",6071,27,3,7,0,0,1,1,44,54469,60088,5619,0.4442,11,71.7618795173554,14.6899238587116,101.5
"California","San Diego County, California",6073,38,15,22,0,0,0,0,97,66529,75500,8971,0.4662,7.8,77.9588740079791,15.7896945081785,735.8
"California","San Francisco County, California",6075,11,7,14,0,1,4,5,47,87701,111704,24003,0.5188,6.2,83.4605977684288,16.3631895604601,17179.2
"California","San Joaquin County, California",6077,7,0,0,1,0,0,0,8,55045,64591,9546,0.4525,11.9,73.3629800444449,14.4341185039085,492.6
"California","San Luis Obispo County, California",6079,2,0,0,0,0,0,0,2,64014,68535,4521,0.4516,5.5,75.8869207877656,16.0170604030486,81.7
