GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US01001,1001,"Autauga County, Alabama",53099,2631
0500000US01003,1003,"Baldwin County, Alabama",51365,991
0500000US01005,1005,"Barbour County, Alabama",33956,2655
0500000US01007,1007,"Bibb County, Alabama",39776,3306
0500000US01009,1009,"Blount County, Alabama",46212,2443
0500000US01011,1011,"Bullock County, Alabama",29335,5435
0500000US01013,1013,"Butler County, Alabama",34315,2904
0500000US01015,1015,"Calhoun County, Alabama",41954,1381
0500000US01017,1017,"Chambers County, Alabama",36027,1870
0500000US01019,1019,"Cherokee County, Alabama",38925,2598
0500000US01021,1021,"Chilton County, Alabama",42594,2580
0500000US01023,1023,"Choctaw County, Alabama",32622,2357
0500000US01025,1025,"Clarke County, Alabama",32735,3261
0500000US01027,1027,"Clay County, Alabama",38815,4217
0500000US01029,1029,"Cleburne County, Alabama",36316,3942
0500000US01031,1031,"Coffee County, Alabama",47872,2517
0500000US01033,1033,"Colbert County, Alabama",43786,2743
0500000US01035,1035,"Conecuh County, Alabama",27609,2836
0500000US01037,1037,"Coosa County, Alabama",31910,2226
0500000US01039,1039,"Covington County, Alabama",37313,2008
0500000US01041,1041,"Crenshaw County, Alabama",37557,3008
0500000US01043,1043,"Cullman County, Alabama",39297,1344
0500000US01045,1045,"Dale County, Alabama",44093,1857
0500000US01047,1047,"Dallas County, Alabama",28136,2380
0500000US01049,1049,"DeKalb County, Alabama",38248,1595
0500000US01051,1051,"Elmore County, Alabama",53398,2566
0500000US01053,1053,"Escambia County, Alabama",32334,2283
0500000US01055,1055,"Etowah County, Alabama",40478,1494
0500000US01057,1057,"Fayette County, Alabama",36205,1708
0500000US01059,1059,"Franklin County, Alabama",36138,2678
0500000US01061,1061,"Geneva County, Alabama",36519,2333
0500000US01063,1063,"Greene County, Alabama",21339,2957
0500000US01065,1065,"Hale County, Alabama",33351,2476
0500000US01067,1067,"Henry County, Alabama",41045,2931
0500000US01069,1069,"Houston County, Alabama",41945,849
0500000US01071,1071,"Jackson County, Alabama",38422,1863
0500000US01073,1073,"Jefferson County, Alabama",47220,774
0500000US01075,1075,"Lamar County, Alabama",34298,3159
0500000US01077,1077,"Lauderdale County, Alabama",43657,1484
0500000US01079,1079,"Lawrence County, Alabama",42339,2999
0500000US01081,1081,"Lee County, Alabama",45056,1961
0500000US01083,1083,"Limestone County, Alabama",51115,1899
0500000US01085,1085,"Lowndes County, Alabama",27914,2588
0500000US01087,1087,"Macon County, Alabama",32390,2647
0500000US01089,1089,"Madison County, Alabama",60150,1318
0500000US01091,1091,"Marengo County, Alabama",30713,2691
0500000US01093,1093,"Marion County, Alabama",34074,2854
0500000US01095,1095,"Marshall County, Alabama",39831,1255
0500000US01097,1097,"Mobile County, Alabama",44263,997
0500000US01099,1099,"Monroe County, Alabama",28182,5042
0500000US01101,1101,"Montgomery County, Alabama",45358,982
0500000US01103,1103,"Morgan County, Alabama",46883,1879
0500000US01105,1105,"Perry County, Alabama",24912,2889
0500000US01107,1107,"Pickens County, Alabama",31679,2533
0500000US01109,1109,"Pike County, Alabama",33193,2358
0500000US01111,1111,"Randolph County, Alabama",37496,2796
0500000US01113,1113,"Russell County, Alabama",38400,2234
0500000US01115,1115,"St. Clair County, Alabama",54042,2410
0500000US01117,1117,"Shelby County, Alabama",72310,1426
0500000US01119,1119,"Sumter County, Alabama",20428,2143
0500000US01121,1121,"Talladega County, Alabama",37923,1749
0500000US01123,1123,"Tallapoosa County, Alabama",39395,2619
0500000US01125,1125,"Tuscaloosa County, Alabama",48022,1149
0500000US01127,1127,"Walker County, Alabama",37025,1276
0500000US01129,1129,"Washington County, Alabama",40293,4335
0500000US01131,1131,"Wilcox County, Alabama",24442,3100
0500000US01133,1133,"Winston County, Alabama",33896,2242
0500000US02013,2013,"Aleutians East Borough, Alaska",65926,2430
0500000US02016,2016,"Aleutians West Census Area, Alaska",86964,5192
0500000US02020,2020,"Anchorage Municipality, Alaska",80862,1295
0500000US02050,2050,"Bethel Census Area, Alaska",53296,2598
0500000US02060,2060,"Bristol Bay Borough, Alaska",88000,13265
0500000US02068,2068,"Denali Borough, Alaska",81302,5330
0500000US02070,2070,"Dillingham Census Area, Alaska",56055,3915
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",73831,2012
0500000US02100,2100,"Haines Borough, Alaska",53125,12741
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",54091,2879
0500000US02110,2110,"Juneau City and Borough, Alaska",87436,3015
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",64891,2835
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",64162,3024
0500000US02150,2150,"Kodiak Island Borough, Alaska",73068,10017
0500000US02158,2158,"Kusilvak Census Area, Alaska",38160,1766
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",43864,4294
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",73908,1841
0500000US02180,2180,"Nome Census Area, Alaska",51563,2671
0500000US02185,2185,"North Slope Borough, Alaska",72027,10301
0500000US02188,2188,"Northwest Arctic Borough, Alaska",61341,3146
0500000US02195,2195,"Petersburg Borough, Alaska",63940,4036
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",51887,2987
0500000US02220,2220,"Sitka City and Borough, Alaska",70160,4214
0500000US02230,2230,"Skagway Municipality, Alaska",64853,6486
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",63713,8661
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",82511,3249
0500000US02275,2275,"Wrangell City and Borough, Alaska",52986,7083
0500000US02282,2282,"Yakutat City and Borough, Alaska",66875,12552
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",38451,1628
0500000US04001,4001,"Apache County, Arizona",32460,1381
0500000US04003,4003,"Cochise County, Arizona",45383,1470
0500000US04005,4005,"Coconino County, Arizona",51106,1578
0500000US04007,4007,"Gila County, Arizona",40593,1420
0500000US04009,4009,"Graham County, Arizona",47422,3914
0500000US04011,4011,"Greenlee County, Arizona",51813,5787
0500000US04012,4012,"La Paz County, Arizona",36321,3103
0500000US04013,4013,"Maricopa County, Arizona",55676,332
0500000US04015,4015,"Mohave County, Arizona",39856,1002
0500000US04017,4017,"Navajo County, Arizona",36868,1318
0500000US04019,4019,"Pima County, Arizona",46764,511
0500000US04021,4021,"Pinal County, Arizona",51190,931
0500000US04023,4023,"Santa Cruz County, Arizona",38941,2732
0500000US04025,4025,"Yavapai County, Arizona",46638,1145
0500000US04027,4027,"Yuma County, Arizona",41467,1093
0500000US05001,5001,"Arkansas County, Arkansas",37330,2349
0500000US05003,5003,"Ashley County, Arkansas",36352,2068
0500000US05005,5005,"Baxter County, Arkansas",38115,1703
0500000US05007,5007,"Benton County, Arkansas",59016,1392
0500000US05009,5009,"Boone County, Arkansas",38664,1680
0500000US05011,5011,"Bradley County, Arkansas",34665,4304
0500000US05013,5013,"Calhoun County, Arkansas",35446,10134
0500000US05015,5015,"Carroll County, Arkansas",38145,2714
0500000US05017,5017,"Chicot County, Arkansas",29628,2176
0500000US05019,5019,"Clark County, Arkansas",35595,2201
0500000US05021,5021,"Clay County, Arkansas",32404,2126
0500000US05023,5023,"Cleburne County, Arkansas",41717,3422
0500000US05025,5025,"Cleveland County, Arkansas",42429,4886
0500000US05027,5027,"Columbia County, Arkansas",36507,3378
0500000US05029,5029,"Conway County, Arkansas",38266,3505
0500000US05031,5031,"Craighead County, Arkansas",43892,1571
0500000US05033,5033,"Crawford County, Arkansas",41792,1441
0500000US05035,5035,"Crittenden County, Arkansas",39407,2569
0500000US05037,5037,"Cross County, Arkansas",39306,3733
0500000US05039,5039,"Dallas County, Arkansas",35745,4058
0500000US05041,5041,"Desha County, Arkansas",26519,2194
0500000US05043,5043,"Drew County, Arkansas",33092,2906
0500000US05045,5045,"Faulkner County, Arkansas",50872,2115
0500000US05047,5047,"Franklin County, Arkansas",39482,2167
0500000US05049,5049,"Fulton County, Arkansas",35593,3705
0500000US05051,5051,"Garland County, Arkansas",40011,1693
0500000US05053,5053,"Grant County, Arkansas",49195,4080
0500000US05055,5055,"Greene County, Arkansas",42755,2814
0500000US05057,5057,"Hempstead County, Arkansas",34072,3071
0500000US05059,5059,"Hot Spring County, Arkansas",42589,3633
0500000US05061,5061,"Howard County, Arkansas",34672,3156
0500000US05063,5063,"Independence County, Arkansas",37592,2510
0500000US05065,5065,"Izard County, Arkansas",35188,2807
0500000US05067,5067,"Jackson County, Arkansas",31245,2167
0500000US05069,5069,"Jefferson County, Arkansas",36377,1947
0500000US05071,5071,"Johnson County, Arkansas",34031,2839
0500000US05073,5073,"Lafayette County, Arkansas",29882,2989
0500000US05075,5075,"Lawrence County, Arkansas",33381,3187
0500000US05077,5077,"Lee County, Arkansas",25724,4406
0500000US05079,5079,"Lincoln County, Arkansas",32369,3450
0500000US05081,5081,"Little River County, Arkansas",35396,2534
0500000US05083,5083,"Logan County, Arkansas",36463,2511
0500000US05085,5085,"Lonoke County, Arkansas",56156,1877
0500000US05087,5087,"Madison County, Arkansas",39839,2616
0500000US05089,5089,"Marion County, Arkansas",33726,2139
0500000US05091,5091,"Miller County, Arkansas",39955,1581
0500000US05093,5093,"Mississippi County, Arkansas",35003,1909
0500000US05095,5095,"Monroe County, Arkansas",31541,4692
0500000US05097,5097,"Montgomery County, Arkansas",35103,3209
0500000US05099,5099,"Nevada County, Arkansas",30750,5513
0500000US05101,5101,"Newton County, Arkansas",33176,4912
0500000US05103,5103,"Ouachita County, Arkansas",31233,2832
0500000US05105,5105,"Perry County, Arkansas",45819,4174
0500000US05107,5107,"Phillips County, Arkansas",26829,2185
0500000US05109,5109,"Pike County, Arkansas",34519,2928
0500000US05111,5111,"Poinsett County, Arkansas",35163,1962
0500000US05113,5113,"Polk County, Arkansas",33202,2099
0500000US05115,5115,"Pope County, Arkansas",40534,2200
0500000US05117,5117,"Prairie County, Arkansas",37500,4580
0500000US05119,5119,"Pulaski County, Arkansas",47101,921
0500000US05121,5121,"Randolph County, Arkansas",36318,3064
0500000US05123,5123,"St. Francis County, Arkansas",35066,2235
0500000US05125,5125,"Saline County, Arkansas",57632,1951
0500000US05127,5127,"Scott County, Arkansas",37861,3258
0500000US05129,5129,"Searcy County, Arkansas",35542,3624
0500000US05131,5131,"Sebastian County, Arkansas",40023,1445
0500000US05133,5133,"Sevier County, Arkansas",38956,4671
0500000US05135,5135,"Sharp County, Arkansas",31068,1805
0500000US05137,5137,"Stone County, Arkansas",30486,3065
0500000US05139,5139,"Union County, Arkansas",39836,2576
0500000US05141,5141,"Van Buren County, Arkansas",34576,3293
0500000US05143,5143,"Washington County, Arkansas",45442,1023
0500000US05145,5145,"White County, Arkansas",42197,1798
0500000US05147,5147,"Woodruff County, Arkansas",30383,2042
0500000US05149,5149,"Yell County, Arkansas",39323,1899
0500000US06001,6001,"Alameda County, California",79831,739
0500000US06003,6003,"Alpine County, California",62375,5989
0500000US06005,6005,"Amador County, California",57032,3247
0500000US06007,6007,"Butte County, California",44366,1131
0500000US06009,6009,"Calaveras County, California",53502,3912
0500000US06011,6011,"Colusa County, California",54946,3336
0500000US06013,6013,"Contra Costa County, California",82881,984
0500000US06015,6015,"Del Norte County, California",42363,3792
0500000US06017,6017,"El Dorado County, California",72586,1756
0500000US06019,6019,"Fresno County, California",45963,661
0500000US06021,6021,"Glenn County, California",41699,3688
0500000US06023,6023,"Humboldt County, California",42685,1286
0500000US06025,6025,"Imperial County, California",42560,1587
0500000US06027,6027,"Inyo County, California",47278,3449
0500000US06029,6029,"Kern County, California",49788,909
0500000US06031,6031,"Kings County, California",47241,1395
0500000US06033,6033,"Lake County, California",36132,2745
0500000US06035,6035,"Lassen County, California",51457,2483
0500000US06037,6037,"Los Angeles County, California",57952,331
0500000US06039,6039,"Madera County, California",45742,1704
0500000US06041,6041,"Marin County, California",100310,1876
0500000US06043,6043,"Mariposa County, California",49265,3372
0500000US06045,6045,"Mendocino County, California",43510,1518
