GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US01001,1001,"Autauga County, Alabama",58556,4223
0500000US01003,1003,"Baldwin County, Alabama",54184,1242
0500000US01005,1005,"Barbour County, Alabama",46673,3726
0500000US01007,1007,"Bibb County, Alabama",42020,3754
0500000US01009,1009,"Blount County, Alabama",48045,2287
0500000US01011,1011,"Bullock County, Alabama",52036,9953
0500000US01013,1013,"Butler County, Alabama",44208,4937
0500000US01015,1015,"Calhoun County, Alabama",47514,2389
0500000US01017,1017,"Chambers County, Alabama",42945,4268
0500000US01019,1019,"Cherokee County, Alabama",39764,3095
0500000US01021,1021,"Chilton County, Alabama",45494,2258
0500000US01023,1023,"Choctaw County, Alabama",45269,3909
0500000US01025,1025,"Clarke County, Alabama",42654,4467
0500000US01027,1027,"Clay County, Alabama",41947,2587
0500000US01029,1029,"Cleburne County, Alabama",38288,4375
0500000US01031,1031,"Coffee County, Alabama",53528,1904
0500000US01033,1033,"Colbert County, Alabama",46991,3100
0500000US01035,1035,"Conecuh County, Alabama",31237,4475
0500000US01037,1037,"Coosa County, Alabama",36926,5966
0500000US01039,1039,"Covington County, Alabama",41071,2581
0500000US01041,1041,"Crenshaw County, Alabama",41686,2420
0500000US01043,1043,"Cullman County, Alabama",39955,1314
0500000US01045,1045,"Dale County, Alabama",50993,2314
0500000US01047,1047,"Dallas County, Alabama",50974,6563
0500000US01049,1049,"DeKalb County, Alabama",39883,1845
0500000US01051,1051,"Elmore County, Alabama",58488,3062
0500000US01053,1053,"Escambia County, Alabama",39800,3137
0500000US01055,1055,"Etowah County, Alabama",43490,1665
0500000US01057,1057,"Fayette County, Alabama",38419,3016
0500000US01059,1059,"Franklin County, Alabama",36549,2715
0500000US01061,1061,"Geneva County, Alabama",39337,3217
0500000US01063,1063,"Greene County, Alabama",47330,8822
0500000US01065,1065,"Hale County, Alabama",50327,6467
0500000US01067,1067,"Henry County, Alabama",47288,4445
0500000US01069,1069,"Houston County, Alabama",50123,948
0500000US01071,1071,"Jackson County, Alabama",38879,1813
0500000US01073,1073,"Jefferson County, Alabama",62604,1168
0500000US01075,1075,"Lamar County, Alabama",37143,4363
0500000US01077,1077,"Lauderdale County, Alabama",45592,1535
0500000US01079,1079,"Lawrence County, Alabama",41613,3189
0500000US01081,1081,"Lee County, Alabama",51658,1567
0500000US01083,1083,"Limestone County, Alabama",53288,2467
0500000US01085,1085,"Lowndes County, Alabama",50568,10957
0500000US01087,1087,"Macon County, Alabama",40610,2843
0500000US01089,1089,"Madison County, Alabama",70259,1410
0500000US01091,1091,"Marengo County, Alabama",53852,5812
0500000US01093,1093,"Marion County, Alabama",34378,3027
0500000US01095,1095,"Marshall County, Alabama",41443,1166
0500000US01097,1097,"Mobile County, Alabama",54092,1489
0500000US01099,1099,"Monroe County, Alabama",42536,3507
0500000US01101,1101,"Montgomery County, Alabama",63543,2007
0500000US01103,1103,"Morgan County, Alabama",50830,1695
0500000US01105,1105,"Perry County, Alabama",41964,14498
0500000US01107,1107,"Pickens County, Alabama",45829,4019
0500000US01109,1109,"Pike County, Alabama",43961,2988
0500000US01111,1111,"Randolph County, Alabama",41577,3090
0500000US01113,1113,"Russell County, Alabama",42443,2683
0500000US01115,1115,"St. Clair County, Alabama",56375,3086
0500000US01117,1117,"Shelby County, Alabama",74585,1545
0500000US01119,1119,"Sumter County, Alabama",60168,8970
0500000US01121,1121,"Talladega County, Alabama",42712,2465
0500000US01123,1123,"Tallapoosa County, Alabama",49125,2685
0500000US01125,1125,"Tuscaloosa County, Alabama",56751,1661
0500000US01127,1127,"Walker County, Alabama",38585,1641
0500000US01129,1129,"Washington County, Alabama",43182,3141
0500000US01131,1131,"Wilcox County, Alabama",47928,7038
0500000US01133,1133,"Winston County, Alabama",34777,2187
0500000US02013,2013,"Aleutians East Borough, Alaska",78542,7409
0500000US02016,2016,"Aleutians West Census Area, Alaska",101932,7463
0500000US02020,2020,"Anchorage Municipality, Alaska",92471,1935
0500000US02050,2050,"Bethel Census Area, Alaska",96393,10916
0500000US02060,2060,"Bristol Bay Borough, Alaska",94896,4623
0500000US02068,2068,"Denali Borough, Alaska",82000,8241
0500000US02070,2070,"Dillingham Census Area, Alaska",88438,14905
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",77517,4798
0500000US02100,2100,"Haines Borough, Alaska",57292,16726
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",59732,9104
0500000US02110,2110,"Juneau City and Borough, Alaska",93929,4408
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",67582,3755
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",71352,4827
0500000US02150,2150,"Kodiak Island Borough, Alaska",93258,8137
0500000US02158,2158,"Kusilvak Census Area, Alaska",79167,22585
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",69750,29706
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",75062,1984
0500000US02180,2180,"Nome Census Area, Alaska",87019,10828
0500000US02185,2185,"North Slope Borough, Alaska",95625,31101
0500000US02188,2188,"Northwest Arctic Borough, Alaska",113580,7073
0500000US02195,2195,"Petersburg Borough, Alaska",64886,7347
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",59474,5896
0500000US02220,2220,"Sitka City and Borough, Alaska",78125,7168
0500000US02230,2230,"Skagway Municipality, Alaska",71750,5253
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",73469,7693
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",84748,3110
0500000US02275,2275,"Wrangell City and Borough, Alaska",58024,4988
0500000US02282,2282,"Yakutat City and Borough, Alaska",73500,5664
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",68182,8800
0500000US04001,4001,"Apache County, Arizona",51319,3239
0500000US04003,4003,"Cochise County, Arizona",48767,1719
0500000US04005,4005,"Coconino County, Arizona",58429,2272
0500000US04007,4007,"Gila County, Arizona",41986,1414
0500000US04009,4009,"Graham County, Arizona",50611,2432
0500000US04011,4011,"Greenlee County, Arizona",54333,6248
0500000US04012,4012,"La Paz County, Arizona",38887,6612
0500000US04013,4013,"Maricopa County, Arizona",62511,476
0500000US04015,4015,"Mohave County, Arizona",40426,941
0500000US04017,4017,"Navajo County, Arizona",47302,2569
0500000US04019,4019,"Pima County, Arizona",52905,814
0500000US04021,4021,"Pinal County, Arizona",54108,1089
0500000US04023,4023,"Santa Cruz County, Arizona",47841,6315
0500000US04025,4025,"Yavapai County, Arizona",47431,1139
0500000US04027,4027,"Yuma County, Arizona",48347,2166
0500000US05001,5001,"Arkansas County, Arkansas",44621,3009
0500000US05003,5003,"Ashley County, Arkansas",47139,4812
0500000US05005,5005,"Baxter County, Arkansas",38026,1778
0500000US05007,5007,"Benton County, Arkansas",60743,1378
0500000US05009,5009,"Boone County, Arkansas",38819,1848
0500000US05011,5011,"Bradley County, Arkansas",50252,8711
0500000US05013,5013,"Calhoun County, Arkansas",43621,5936
0500000US05015,5015,"Carroll County, Arkansas",39658,3217
0500000US05017,5017,"Chicot County, Arkansas",44500,8046
0500000US05019,5019,"Clark County, Arkansas",40546,3308
0500000US05021,5021,"Clay County, Arkansas",32321,2470
0500000US05023,5023,"Cleburne County, Arkansas",42238,3478
0500000US05025,5025,"Cleveland County, Arkansas",45054,3911
0500000US05027,5027,"Columbia County, Arkansas",48540,5050
0500000US05029,5029,"Conway County, Arkansas",43357,4546
0500000US05031,5031,"Craighead County, Arkansas",47222,1598
0500000US05033,5033,"Crawford County, Arkansas",42480,2296
0500000US05035,5035,"Crittenden County, Arkansas",57113,3011
0500000US05037,5037,"Cross County, Arkansas",42023,2680
0500000US05039,5039,"Dallas County, Arkansas",39330,4888
0500000US05041,5041,"Desha County, Arkansas",42628,3368
0500000US05043,5043,"Drew County, Arkansas",43623,5598
0500000US05045,5045,"Faulkner County, Arkansas",55186,1729
0500000US05047,5047,"Franklin County, Arkansas",39801,2705
0500000US05049,5049,"Fulton County, Arkansas",36017,3788
0500000US05051,5051,"Garland County, Arkansas",42432,2123
0500000US05053,5053,"Grant County, Arkansas",50152,3599
0500000US05055,5055,"Greene County, Arkansas",43226,3027
0500000US05057,5057,"Hempstead County, Arkansas",42106,2550
0500000US05059,5059,"Hot Spring County, Arkansas",46391,3376
0500000US05061,5061,"Howard County, Arkansas",40331,3696
0500000US05063,5063,"Independence County, Arkansas",39350,3040
0500000US05065,5065,"Izard County, Arkansas",35177,3040
0500000US05067,5067,"Jackson County, Arkansas",33781,3110
0500000US05069,5069,"Jefferson County, Arkansas",47285,2948
0500000US05071,5071,"Johnson County, Arkansas",35867,2070
0500000US05073,5073,"Lafayette County, Arkansas",41047,5303
0500000US05075,5075,"Lawrence County, Arkansas",33691,3271
0500000US05077,5077,"Lee County, Arkansas",39434,5362
0500000US05079,5079,"Lincoln County, Arkansas",41833,5134
0500000US05081,5081,"Little River County, Arkansas",39200,7063
0500000US05083,5083,"Logan County, Arkansas",37362,2112
0500000US05085,5085,"Lonoke County, Arkansas",57780,1831
